theme_key	word	pos	before	after	note
familia	apoyar	v.	Mi familia siempre me _____.	Mi familia siempre me _____.	
familia	bebé	n.m.	El _____ duerme toda la noche.	El _____ duerme toda la noche.	
familia	boda	n.f.	La _____ es en junio.	La _____ es en junio.	
familia	cariño	n.m.	Les tengo mucho _____.	Les tengo mucho _____.	
familia	casado	adj.	Está _____ desde hace diez años.	Está _____ desde hace diez años.	
familia	casarse	v.pron.	Se _____ el año que viene.	Se _____ el año que viene.	
familia	crecer	v.	Los niños _____ deprisa.	Los niños _____ deprisa.	
familia	criar	v.	_____ a sus hijos con cariño.	_____ a sus hijos con cariño.	
familia	cuidar	v.	_____ a mis abuelos.	_____ a mis abuelos.	
familia	cuñado	n.m.	Mi _____ es muy simpático.	Mi _____ es muy simpático.	
familia	discutir	v.	A veces _____, es normal.	A veces _____, es normal.	
familia	divorciado	adj.	Sus padres están _____s.	Sus padres están _____s.	
familia	echar de menos	v.	NULL	NULL	
familia	embarazada	adj.	Mi hermana está _____.	Mi hermana está _____.	
familia	familiar	n.m.	Vino un _____ de visita.	Vino un _____ de visita.	
familia	gemelo	n.m.	Tienen _____s.	Tienen _____s.	
familia	generación	n.f.	Somos tres _____ en casa.	Somos tres _____ en casa.	
familia	hermana	n.f.	Mi _____ vive en Francia.	Mi _____ vive en Francia.	
familia	hermano	n.m.	Mi _____ es mayor que yo.	Mi _____ es mayor que yo.	
familia	hija	n.f.	Tienen una _____ pequeña.	Tienen una _____ pequeña.	
familia	hijo	n.m.	Su _____ mayor estudia fuera.	Su _____ mayor estudia fuera.	
familia	hogar	n.m.	Crecí en un _____ feliz.	Crecí en un _____ feliz.	
familia	infancia	n.f.	Tengo buenos recuerdos de mi _____.	Tengo buenos recuerdos de mi _____.	
familia	joven	adj.	De _____ vivía aquí.	De _____ vivía aquí.	
familia	llevarse	v.pron.	Me _____ bien con mis hermanos.	Me _____ bien con mis hermanos.	
familia	madre	n.f.	Mi _____ vive cerca.	Mi _____ vive cerca.	
familia	marido	n.m.	Su _____ cocina muy bien.	Su _____ cocina muy bien.	
familia	morir	v.	Su abuelo _____ en invierno.	Su abuelo _____ en invierno.	
familia	mujer	n.f.	Voy al cine con mi _____.	Voy al cine con mi _____.	
familia	nacer	v.	El bebé _____ ayer.	El bebé _____ ayer.	
familia	nieta	n.f.	Su _____ empieza el colegio.	Su _____ empieza el colegio.	
familia	nieto	n.m.	Los abuelos cuidan al _____.	Los abuelos cuidan al _____.	
familia	niño	n.m.	Los _____s juegan en el jardín.	Los _____s juegan en el jardín.	
familia	novia	n.f.	Conocí a su _____ ayer.	Conocí a su _____ ayer.	
familia	novio	n.m.	Su _____ es músico.	Su _____ es músico.	
familia	padre	n.m.	Mi _____ se jubiló.	Mi _____ se jubiló.	
familia	padres	n.m.	Visito a mis _____ los domingos.	Visito a mis _____ los domingos.	
familia	parecerse	v.pron.	Te _____ a tu madre.	Te _____ a tu madre.	
familia	pareja	n.f.	Viven en _____.	Viven en _____.	
familia	pariente	n.m.	Tengo _____s en México.	Tengo _____s en México.	
familia	primo	n.m.	Juego con mis _____s.	Juego con mis _____s.	
familia	querer	v.	_____ mucho a mi familia.	_____ mucho a mi familia.	
familia	reunirse	v.pron.	La familia se _____ en Navidad.	La familia se _____ en Navidad.	maskSentence now also matches (stem reun-); cloze unchanged — trusted paradigm masks it first
familia	separarse	v.pron.	Se _____ el año pasado.	Se _____ el año pasado.	
familia	sobrino	n.m.	Mi _____ cumple cinco años.	Mi _____ cumple cinco años.	
familia	soltero	adj.	Sigue _____.	Sigue _____.	
familia	suegra	n.f.	Mi _____ viene a cenar.	Mi _____ viene a cenar.	
familia	suegro	n.m.	Mi _____ juega al golf.	Mi _____ juega al golf.	
familia	tía	n.f.	Mi _____ es enfermera.	Mi _____ es enfermera.	
familia	tío	n.m.	Mi _____ vive en el pueblo.	Mi _____ vive en el pueblo.	
familia	vecino	n.m.	Los _____s son muy amables.	Los _____s son muy amables.	
familia	visitar	v.	Nos _____ cada verano.	Nos _____ cada verano.	
familia	yerno	n.m.	Su _____ trabaja con él.	Su _____ trabaja con él.	
fiesta	Año Nuevo	n.m.	Celebramos el _____ juntos.	Celebramos el _____ juntos.	
fiesta	Navidad	n.f.	Pasamos la _____ en familia.	Pasamos la _____ en familia.	
fiesta	adorno	n.m.	Colgamos los _____s.	Colgamos los _____s.	
fiesta	alegría	n.f.	La fiesta fue pura _____.	La fiesta fue pura _____.	
fiesta	ambiente	n.m.	Había muy buen _____.	Había muy buen _____.	
fiesta	anfitrión	n.m.	El _____ nos recibió bien.	El _____ nos recibió bien.	
fiesta	aniversario	n.m.	Es su _____ de boda.	Es su _____ de boda.	
fiesta	aplaudir	v.	Todos _____ al final.	Todos _____ al final.	
fiesta	bailar	v.	_____ toda la noche.	_____ toda la noche.	
fiesta	baile	n.m.	El _____ duró hasta tarde.	El _____ duró hasta tarde.	
fiesta	bebida	n.f.	Hay _____s en la nevera.	Hay _____s en la nevera.	
fiesta	boda	n.f.	Bailamos toda la _____.	Bailamos toda la _____.	
fiesta	brindar	v.	_____ por los novios.	_____ por los novios.	
fiesta	brindis	n.m.	Hizo un _____ emotivo.	Hizo un _____ emotivo.	
fiesta	cantar	v.	_____ el cumpleaños feliz.	_____ el cumpleaños feliz.	
fiesta	celebración	n.f.	Fue una _____ preciosa.	Fue una _____ preciosa.	
fiesta	celebrar	v.	_____ el ascenso.	_____ el ascenso.	
fiesta	champán	n.m.	Abrimos una botella de _____.	Abrimos una botella de _____.	
fiesta	concierto	n.m.	El _____ empieza a las nueve.	El _____ empieza a las nueve.	
fiesta	confeti	n.m.	Tiraron _____ al final.	Tiraron _____ al final.	
fiesta	copa	n.f.	Levantamos la _____.	Levantamos la _____.	
fiesta	cumpleaños	n.m.	Hoy es mi _____.	Hoy es mi _____.	
fiesta	decorar	v.	_____ el salón.	_____ el salón.	
fiesta	deseo	n.m.	Pide un _____.	Pide un _____.	
fiesta	discoteca	n.f.	Salimos a la _____.	Salimos a la _____.	
fiesta	discurso	n.m.	El padre dio un _____.	El padre dio un _____.	
fiesta	disfraz	n.m.	Llevo un _____ de pirata.	Llevo un _____ de pirata.	
fiesta	disfrutar	v.	_____ de la fiesta.	_____ de la fiesta.	
fiesta	divertirse	v.pron.	Nos _____ mucho.	Nos _____ mucho.	
fiesta	emoción	n.f.	Lloró de la _____.	Lloró de la _____.	
fiesta	enhorabuena	n.f.	¡_____ por la boda!	¡_____ por la boda!	
fiesta	entrada	n.f.	Compré las _____s del concierto.	Compré las _____s del concierto.	
fiesta	felicidad	n.f.	Les deseo mucha _____.	Les deseo mucha _____.	
fiesta	felicitar	v.	Te _____ por el premio.	Te _____ por el premio.	
fiesta	feliz	adj.	¡_____ cumpleaños!	¡_____ cumpleaños!	
fiesta	feria	n.f.	La _____ del pueblo es en agosto.	La _____ del pueblo es en agosto.	
fiesta	fiesta	n.f.	Vamos a una _____ el sábado.	Vamos a una _____ el sábado.	
fiesta	fuegos artificiales	n.m.	Vimos los _____.	Vimos los _____.	
fiesta	gente	n.f.	Había mucha _____ en la fiesta.	Había mucha _____ en la fiesta.	
fiesta	globo	n.m.	Decoramos con _____s.	Decoramos con _____s.	
fiesta	invitación	n.f.	Recibí la _____ por correo.	Recibí la _____ por correo.	
fiesta	invitado	n.m.	Llegaron todos los _____s.	Llegaron todos los _____s.	
fiesta	invitados	n.m.	Somos veinte _____.	Somos veinte _____.	
fiesta	invitar	v.	Te _____ a mi fiesta.	Te _____ a mi fiesta.	
fiesta	máscara	n.f.	Lleva una _____ de carnaval.	Lleva una _____ de carnaval.	
fiesta	música	n.f.	Pon _____ alegre.	Pon _____ alegre.	
fiesta	organizar	v.	_____ la fiesta sorpresa.	_____ la fiesta sorpresa.	
fiesta	pastel	n.m.	El _____ tiene velas.	El _____ tiene velas.	
fiesta	piñata	n.f.	Los niños rompieron la _____.	Los niños rompieron la _____.	
fiesta	preparar	v.	_____ todo la víspera.	_____ todo la víspera.	
fiesta	recordar	v.	_____ este día.	_____ este día.	
fiesta	recuerdo	n.m.	Guardo un buen _____ de la boda.	Guardo un buen _____ de la boda.	
fiesta	regalo	n.m.	Abre tu _____.	Abre tu _____.	
fiesta	reunir	v.	La fiesta _____ a toda la familia.	La fiesta _____ a toda la familia.	
fiesta	reír	v.	NULL	NULL	
fiesta	sorpresa	n.f.	Es una fiesta _____.	Es una fiesta _____.	
fiesta	tarta	n.f.	Cortamos la _____.	Cortamos la _____.	
fiesta	tradición	n.f.	Es una _____ familiar.	Es una _____ familiar.	
fiesta	vela	n.f.	Sopla las _____s.	Sopla las _____s.	
fiesta	villancico	n.m.	Cantamos _____s en Navidad.	Cantamos _____s en Navidad.	
ropa	abrigo	n.m.	En invierno llevo _____.	En invierno llevo _____.	
ropa	algodón	n.m.	Prefiero las camisetas de _____.	Prefiero las camisetas de _____.	
ropa	amarillo	adj.	Una camiseta _____	Una camiseta _____	
ropa	ancho	adj.	Prefiero la ropa _____	Prefiero la ropa _____	
ropa	apretar	v.	NULL	NULL	
ropa	azul	adj.	Unos vaqueros _____es.	Unos vaqueros _____es.	
ropa	blanco	adj.	Una camisa _____	Una camisa _____	
ropa	blusa	n.f.	Lleva una _____ de seda.	Lleva una _____ de seda.	
ropa	bolsillo	n.m.	Lo llevo en el _____.	Lo llevo en el _____.	
ropa	bolso	n.m.	Guardo las llaves en el _____.	Guardo las llaves en el _____.	
ropa	bota	n.f.	Con la lluvia llevo _____s.	Con la lluvia llevo _____s.	
ropa	botón	n.m.	Se me cayó un _____.	Se me cayó un _____.	
ropa	bufanda	n.f.	Me pongo la _____.	Me pongo la _____.	
ropa	calcetín	n.m.	Falta un _____.	Falta un _____.	
ropa	calzoncillo	n.m.	Compró _____s nuevos.	Compró _____s nuevos.	
ropa	camisa	n.f.	Se puso una _____ azul.	Se puso una _____ azul.	
ropa	camiseta	n.f.	Llevo una _____ blanca.	Llevo una _____ blanca.	
ropa	chaleco	n.m.	Un _____ sin mangas.	Un _____ sin mangas.	
ropa	chaqueta	n.f.	Cuelga la _____ ahí.	Cuelga la _____ ahí.	
ropa	chándal	n.m.	Se puso el _____ para entrenar.	Se puso el _____ para entrenar.	
ropa	cinturón	n.m.	Se abrocha el _____.	Se abrocha el _____.	
ropa	corbata	n.f.	Lleva _____ a la reunión.	Lleva _____ a la reunión.	
ropa	cremallera	n.f.	Se rompió la _____.	Se rompió la _____.	
ropa	cuero	n.m.	Una chaqueta de _____.	Una chaqueta de _____.	
ropa	estrecho	adj.	Este pantalón es muy _____.	Este pantalón es muy _____.	
ropa	falda	n.f.	Lleva una _____ larga.	Lleva una _____ larga.	
ropa	gafas	n.f.	Llevo _____ para leer.	Llevo _____ para leer.	
ropa	gorra	n.f.	Lleva una _____ roja.	Lleva una _____ roja.	
ropa	guante	n.m.	Necesito _____s en invierno.	Necesito _____s en invierno.	
ropa	jersey	n.m.	Hace frío, ponte el _____.	Hace frío, ponte el _____.	
ropa	lana	n.f.	Un jersey de _____.	Un jersey de _____.	
ropa	llevar	v.	Hoy _____ vaqueros.	Hoy _____ vaqueros.	
ropa	manga	n.f.	La camisa tiene las _____s largas.	La camisa tiene las _____s largas.	
ropa	marca	n.f.	Es una _____ muy conocida.	Es una _____ muy conocida.	
ropa	moda	n.f.	Sigue la última _____.	Sigue la última _____.	
ropa	negro	adj.	Un vestido _____.	Un vestido _____.	
ropa	pantalón	n.m.	Estos _____ me quedan bien.	Estos _____ me quedan bien.	
ropa	pantalón corto	n.m.	En verano llevo _____.	En verano llevo _____.	
ropa	paraguas	n.m.	Coge el _____, va a llover.	Coge el _____, va a llover.	
ropa	pañuelo	n.m.	Se puso un _____ al cuello.	Se puso un _____ al cuello.	
ropa	pijama	n.m.	Se puso el _____.	Se puso el _____.	
ropa	ponerse	v.pron.	NULL	_____ el abrigo.	
ropa	probador	n.m.	El _____ está a la derecha.	El _____ está a la derecha.	
ropa	probarse	v.pron.	¿Puedo _____ esta camisa?	¿Puedo _____ esta camisa?	
ropa	quedar	v.	Ese vestido te _____ muy bien.	Ese vestido te _____ muy bien.	
ropa	quitarse	v.pron.	Me _____ los zapatos en casa.	Me _____ los zapatos en casa.	
ropa	rojo	adj.	Zapatos _____s.	Zapatos _____s.	
ropa	ropa interior	n.f.	Guardo la _____ en el cajón.	Guardo la _____ en el cajón.	
ropa	sandalia	n.f.	En verano llevo _____s.	En verano llevo _____s.	
ropa	seda	n.f.	Una bufanda de _____.	Una bufanda de _____.	
ropa	sombrero	n.m.	Un _____ para el sol.	Un _____ para el sol.	
ropa	sudadera	n.f.	Una _____ con capucha.	Una _____ con capucha.	
ropa	talla	n.f.	¿Qué _____ usas?	¿Qué _____ usas?	
ropa	traje	n.m.	Va al trabajo con _____.	Va al trabajo con _____.	
ropa	vaqueros	n.m.	Me pongo los _____.	Me pongo los _____.	
ropa	verde	adj.	Un jersey _____.	Un jersey _____.	
ropa	vestido	n.m.	Un _____ rojo precioso.	Un _____ rojo precioso.	
ropa	vestirse	v.pron.	Me _____ rápido por la mañana.	Me _____ rápido por la mañana.	
ropa	zapatilla	n.f.	Corro con _____s.	Corro con _____s.	
ropa	zapato	n.m.	Me aprietan los _____s.	Me aprietan los _____s.	
trabajo	ascenso	n.m.	Le dieron un _____.	Le dieron un _____.	
trabajo	becario	n.m.	El _____ aprende rápido.	El _____ aprende rápido.	
trabajo	beneficio	n.m.	La empresa tuvo grandes _____s.	La empresa tuvo grandes _____s.	
trabajo	carrera	n.f.	Estudió una _____ de derecho.	Estudió una _____ de derecho.	
trabajo	cliente	n.m.	El _____ siempre tiene prisa.	El _____ siempre tiene prisa.	
trabajo	compañero	n.m.	Como con mis _____s.	Como con mis _____s.	
trabajo	contratar	v.	Van a _____ a más gente.	Van a _____ a más gente.	
trabajo	contrato	n.m.	Firmé un _____ de un año.	Firmé un _____ de un año.	
trabajo	correo	n.m.	Te mando un _____.	Te mando un _____.	
trabajo	currículum	n.m.	Actualicé mi _____.	Actualicé mi _____.	
trabajo	descanso	n.m.	Hago un _____ a las once.	Hago un _____ a las once.	
trabajo	despacho	n.m.	El jefe está en su _____.	El jefe está en su _____.	
trabajo	despedir	v.	Lo _____ el mes pasado.	Lo _____ el mes pasado.	
trabajo	director	n.m.	El _____ dirige la reunión.	El _____ dirige la reunión.	
trabajo	documento	n.m.	Firma el _____ aquí.	Firma el _____ aquí.	
trabajo	empleado	n.m.	La empresa tiene cien _____s.	La empresa tiene cien _____s.	
trabajo	empresa	n.f.	Trabajo en una _____ grande.	Trabajo en una _____ grande.	
trabajo	entregar	v.	_____ el informe mañana.	_____ el informe mañana.	
trabajo	entrevista	n.f.	Tengo una _____ el jueves.	Tengo una _____ el jueves.	
trabajo	equipo	n.m.	Trabajo en un buen _____.	Trabajo en un buen _____.	
trabajo	esfuerzo	n.m.	Con _____ se consigue.	Con _____ se consigue.	
trabajo	estrés	n.m.	Tengo mucho _____ últimamente.	Tengo mucho _____ últimamente.	
trabajo	experiencia	n.f.	Tiene mucha _____.	Tiene mucha _____.	
trabajo	firmar	v.	_____ aquí, por favor.	_____ aquí, por favor.	
trabajo	formación	n.f.	La empresa ofrece _____.	La empresa ofrece _____.	
trabajo	fracaso	n.m.	Aprendí del _____.	Aprendí del _____.	
trabajo	fábrica	n.f.	Trabaja en una _____.	Trabaja en una _____.	
trabajo	herramienta	n.f.	Necesito la _____ adecuada.	Necesito la _____ adecuada.	
trabajo	horario	n.m.	Tengo un _____ flexible.	Tengo un _____ flexible.	
trabajo	informe	n.m.	Escribo el _____ hoy.	Escribo el _____ hoy.	
trabajo	jefa	n.f.	Mi _____ es muy justa.	Mi _____ es muy justa.	
trabajo	jefe	n.m.	Mi _____ es exigente.	Mi _____ es exigente.	
trabajo	jornada	n.f.	La _____ es de ocho horas.	La _____ es de ocho horas.	
trabajo	jubilación	n.f.	La _____ llega a los 65.	La _____ llega a los 65.	
trabajo	jubilarse	v.pron.	Se _____ el año que viene.	Se _____ el año que viene.	
trabajo	llamada	n.f.	Tengo una _____ importante.	Tengo una _____ importante.	
trabajo	meta	n.f.	Cumplimos la _____ del mes.	Cumplimos la _____ del mes.	
trabajo	nómina	n.f.	Recibí la _____ hoy.	Recibí la _____ hoy.	
trabajo	ocupado	adj.	Estoy muy _____ esta semana.	Estoy muy _____ esta semana.	
trabajo	oficina	n.f.	Llego a la _____ a las nueve.	Llego a la _____ a las nueve.	
trabajo	ordenador	n.m.	Enciendo el _____.	Enciendo el _____.	
trabajo	organizar	v.	_____ mi semana el domingo.	_____ mi semana el domingo.	
trabajo	paro	n.m.	Está en el _____ desde marzo.	Está en el _____ desde marzo.	
trabajo	plantilla	n.f.	La _____ ha crecido este año.	La _____ ha crecido este año.	
trabajo	plazo	n.m.	El _____ es muy corto.	El _____ es muy corto.	
trabajo	profesión	n.f.	¿Cuál es tu _____?	¿Cuál es tu _____?	
trabajo	proyecto	n.m.	Estamos en un _____ nuevo.	Estamos en un _____ nuevo.	
trabajo	puesto	n.m.	Busco un _____ de responsabilidad.	Busco un _____ de responsabilidad.	
trabajo	red	n.f.	Amplío mi _____ de contactos.	Amplío mi _____ de contactos.	
trabajo	responsable	adj.	Es muy _____ en el trabajo.	Es muy _____ en el trabajo.	
trabajo	reunirse	v.pron.	Nos _____ cada lunes.	Nos _____ cada lunes.	
trabajo	reunión	n.f.	Tengo una _____ a las tres.	Tengo una _____ a las tres.	
trabajo	sindicato	n.m.	Se afilió al _____.	Se afilió al _____.	
trabajo	socio	n.m.	Es mi _____ desde hace años.	Es mi _____ desde hace años.	
trabajo	sueldo	n.m.	Cobro el _____ a fin de mes.	Cobro el _____ a fin de mes.	
trabajo	sueldo mínimo	n.m.	Cobra el _____.	Cobra el _____.	
trabajo	tarea	n.f.	Termino esta _____ y me voy.	Termino esta _____ y me voy.	
trabajo	trabajar	v.	_____ de lunes a viernes.	_____ de lunes a viernes.	
trabajo	vacante	n.f.	Hay una _____ en mi equipo.	Hay una _____ en mi equipo.	
trabajo	éxito	n.m.	El proyecto fue un _____.	El proyecto fue un _____.	
viaje	aduana	n.f.	Pasamos por la _____.	Pasamos por la _____.	
viaje	aeropuerto	n.m.	Llego al _____ pronto.	Llego al _____ pronto.	
viaje	alojarse	v.pron.	Nos _____ en el centro.	Nos _____ en el centro.	
viaje	autobús	n.m.	El _____ llega tarde.	El _____ llega tarde.	
viaje	aventura	n.f.	El viaje fue una _____.	El viaje fue una _____.	
viaje	avión	n.m.	El _____ sale a las diez.	El _____ sale a las diez.	
viaje	barco	n.m.	Cruzamos en _____.	Cruzamos en _____.	
viaje	bicicleta	n.f.	Voy en _____ al trabajo.	Voy en _____ al trabajo.	
viaje	billete	n.m.	Compré el _____ por internet.	Compré el _____ por internet.	
viaje	calle	n.f.	Vive en esta _____.	Vive en esta _____.	
viaje	carretera	n.f.	La _____ está cortada.	La _____ está cortada.	
viaje	cerca	adv.	El hotel está _____.	El hotel está _____.	
viaje	ciudad	n.f.	Visitamos una _____ preciosa.	Visitamos una _____ preciosa.	
viaje	coche	n.m.	Vamos en _____.	Vamos en _____.	
viaje	cámara	n.f.	Saqué muchas fotos con la _____.	Saqué muchas fotos con la _____.	
viaje	derecha	n.f.	Gira a la _____.	Gira a la _____.	
viaje	destino	n.m.	¿Cuál es tu _____?	¿Cuál es tu _____?	
viaje	embarcar	v.	_____ dentro de una hora.	_____ dentro de una hora.	
viaje	equipaje	n.m.	Facturé el _____.	Facturé el _____.	
viaje	escala	n.f.	Hicimos _____ en París.	Hicimos _____ en París.	
viaje	estación	n.f.	Te espero en la _____.	Te espero en la _____.	
viaje	extranjero	n.m.	Trabaja en el _____.	Trabaja en el _____.	
viaje	fin de semana	n.m.	Nos vamos el _____.	Nos vamos el _____.	
viaje	frontera	n.f.	Cruzamos la _____ de noche.	Cruzamos la _____ de noche.	
viaje	guía	n.m.	El _____ habla tres idiomas.	El _____ habla tres idiomas.	
viaje	hotel	n.m.	Reservamos un _____ barato.	Reservamos un _____ barato.	
viaje	idioma	n.m.	No hablo el _____ local.	No hablo el _____ local.	
viaje	invierno	n.m.	En _____ vamos a la montaña.	En _____ vamos a la montaña.	
viaje	izquierda	n.f.	La tienda está a la _____.	La tienda está a la _____.	
viaje	lejos	adv.	La playa está _____.	La playa está _____.	
viaje	llegada	n.f.	La _____ es a mediodía.	La _____ es a mediodía.	
viaje	maleta	n.f.	Hago la _____ esta noche.	Hago la _____ esta noche.	
viaje	mapa	n.m.	Miramos el _____.	Miramos el _____.	
viaje	metro	n.m.	El _____ es muy rápido.	El _____ es muy rápido.	
viaje	mochila	n.f.	Llevo lo justo en la _____.	Llevo lo justo en la _____.	
viaje	moneda	n.f.	Cambié la _____ en el banco.	Cambié la _____ en el banco.	
viaje	montaña	n.f.	Subimos a la _____.	Subimos a la _____.	
viaje	origen	n.m.	El vuelo con _____ en Madrid.	El vuelo con _____ en Madrid.	
viaje	paisaje	n.m.	El _____ es impresionante.	El _____ es impresionante.	
viaje	pasaporte	n.m.	No olvides el _____.	No olvides el _____.	
viaje	perderse	v.pron.	Nos _____ en la ciudad.	Nos _____ en la ciudad.	
viaje	playa	n.f.	Pasamos el día en la _____.	Pasamos el día en la _____.	
viaje	plaza	n.f.	Quedamos en la _____ mayor.	Quedamos en la _____ mayor.	
viaje	propina	n.f.	Dejé _____ al camarero.	Dejé _____ al camarero.	
viaje	pueblo	n.m.	Nací en un _____ pequeño.	Nací en un _____ pequeño.	
viaje	recto	adv.	Sigue todo _____.	Sigue todo _____.	
viaje	recuerdo	n.m.	Compré un _____ para mi madre.	Compré un _____ para mi madre.	
viaje	reserva	n.f.	Tengo una _____ a mi nombre.	Tengo una _____ a mi nombre.	
viaje	reservar	v.	_____ una mesa.	_____ una mesa.	
viaje	retraso	n.m.	Hubo un _____ de una hora.	Hubo un _____ de una hora.	
viaje	ruta	n.f.	Planeamos la _____ juntos.	Planeamos la _____ juntos.	
viaje	salida	n.f.	La _____ es a las nueve.	La _____ es a las nueve.	
viaje	seguro	n.m.	Contraté un _____ de viaje.	Contraté un _____ de viaje.	
viaje	taxi	n.m.	Cogimos un _____ al aeropuerto.	Cogimos un _____ al aeropuerto.	
viaje	trayecto	n.m.	El _____ dura dos horas.	El _____ dura dos horas.	
viaje	tren	n.m.	Cojo el _____ de las ocho.	Cojo el _____ de las ocho.	
viaje	turista	n.m.	El barrio está lleno de _____s.	El barrio está lleno de _____s.	
viaje	vacaciones	n.f.	Estamos de _____.	Estamos de _____.	
viaje	verano	n.m.	Viajamos en _____.	Viajamos en _____.	
viaje	viajar	v.	Me encanta _____.	Me encanta _____.	
viaje	viajero	n.m.	Es un _____ incansable.	Es un _____ incansable.	
viaje	visitar	v.	_____ el museo.	_____ el museo.	
viaje	vuelo	n.m.	El _____ se retrasó.	El _____ se retrasó.	
