theme_key	word	pos	example_es
trabajo	contratar	v.	Van a contratar a más gente.
trabajo	contrato	n.m.	Firmé un contrato de un año.
trabajo	correo	n.m.	Te mando un correo.
trabajo	currículum	n.m.	Actualicé mi currículum.
trabajo	descanso	n.m.	Hago un descanso a las once.
trabajo	despacho	n.m.	El jefe está en su despacho.
trabajo	despedir	v.	Lo despidieron el mes pasado.
trabajo	director	n.m.	El director dirige la reunión.
trabajo	documento	n.m.	Firma el documento aquí.
trabajo	empleado	n.m.	La empresa tiene cien empleados.
trabajo	empresa	n.f.	Trabajo en una empresa grande.
trabajo	entregar	v.	Entrego el informe mañana.
trabajo	entrevista	n.f.	Tengo una entrevista el jueves.
trabajo	equipo	n.m.	Trabajo en un buen equipo.
trabajo	esfuerzo	n.m.	Con esfuerzo se consigue.
trabajo	estrés	n.m.	Tengo mucho estrés últimamente.
trabajo	experiencia	n.f.	Tiene mucha experiencia.
trabajo	firmar	v.	Firma aquí, por favor.
trabajo	formación	n.f.	La empresa ofrece formación.
trabajo	fracaso	n.m.	Aprendí del fracaso.
trabajo	fábrica	n.f.	Trabaja en una fábrica.
trabajo	herramienta	n.f.	Necesito la herramienta adecuada.
trabajo	horario	n.m.	Tengo un horario flexible.
trabajo	informe	n.m.	Escribo el informe hoy.
trabajo	jefa	n.f.	Mi jefa es muy justa.
trabajo	jefe	n.m.	Mi jefe es exigente.
trabajo	jornada	n.f.	La jornada es de ocho horas.
trabajo	jubilación	n.f.	La jubilación llega a los 65.
trabajo	jubilarse	v.pron.	Se jubila el año que viene.
trabajo	llamada	n.f.	Tengo una llamada importante.
trabajo	meta	n.f.	Cumplimos la meta del mes.
trabajo	nómina	n.f.	Recibí la nómina hoy.
trabajo	ocupado	adj.	Estoy muy ocupado esta semana.
trabajo	oficina	n.f.	Llego a la oficina a las nueve.
trabajo	ordenador	n.m.	Enciendo el ordenador.
trabajo	organizar	v.	Organizo mi semana el domingo.
trabajo	paro	n.m.	Está en el paro desde marzo.
trabajo	plantilla	n.f.	La plantilla ha crecido este año.
trabajo	plazo	n.m.	El plazo es muy corto.
trabajo	profesión	n.f.	¿Cuál es tu profesión?
trabajo	proyecto	n.m.	Estamos en un proyecto nuevo.
trabajo	puesto	n.m.	Busco un puesto de responsabilidad.
trabajo	red	n.f.	Amplío mi red de contactos.
trabajo	responsable	adj.	Es muy responsable en el trabajo.
trabajo	reunirse	v.pron.	Nos reunimos cada lunes.
trabajo	reunión	n.f.	Tengo una reunión a las tres.
trabajo	sindicato	n.m.	Se afilió al sindicato.
trabajo	socio	n.m.	Es mi socio desde hace años.
trabajo	sueldo	n.m.	Cobro el sueldo a fin de mes.
trabajo	sueldo mínimo	n.m.	Cobra el sueldo mínimo.
trabajo	tarea	n.f.	Termino esta tarea y me voy.
trabajo	trabajar	v.	Trabajo de lunes a viernes.
trabajo	vacante	n.f.	Hay una vacante en mi equipo.
trabajo	éxito	n.m.	El proyecto fue un éxito.
viaje	aduana	n.f.	Pasamos por la aduana.
viaje	aeropuerto	n.m.	Llego al aeropuerto pronto.
viaje	alojarse	v.pron.	Nos alojamos en el centro.
viaje	autobús	n.m.	El autobús llega tarde.
viaje	aventura	n.f.	El viaje fue una aventura.
viaje	avión	n.m.	El avión sale a las diez.
viaje	barco	n.m.	Cruzamos en barco.
viaje	bicicleta	n.f.	Voy en bicicleta al trabajo.
viaje	billete	n.m.	Compré el billete por internet.
viaje	calle	n.f.	Vive en esta calle.
viaje	carretera	n.f.	La carretera está cortada.
viaje	cerca	adv.	El hotel está cerca.
viaje	ciudad	n.f.	Visitamos una ciudad preciosa.
viaje	coche	n.m.	Vamos en coche.
viaje	cámara	n.f.	Saqué muchas fotos con la cámara.
viaje	derecha	n.f.	Gira a la derecha.
viaje	destino	n.m.	¿Cuál es tu destino?
viaje	embarcar	v.	Embarcamos dentro de una hora.
viaje	equipaje	n.m.	Facturé el equipaje.
viaje	escala	n.f.	Hicimos escala en París.
viaje	estación	n.f.	Te espero en la estación.
viaje	extranjero	n.m.	Trabaja en el extranjero.
viaje	fin de semana	n.m.	Nos vamos el fin de semana.
viaje	frontera	n.f.	Cruzamos la frontera de noche.
viaje	guía	n.m.	El guía habla tres idiomas.
viaje	hotel	n.m.	Reservamos un hotel barato.
viaje	idioma	n.m.	No hablo el idioma local.
viaje	invierno	n.m.	En invierno vamos a la montaña.
viaje	izquierda	n.f.	La tienda está a la izquierda.
viaje	lejos	adv.	La playa está lejos.
viaje	llegada	n.f.	La llegada es a mediodía.
viaje	maleta	n.f.	Hago la maleta esta noche.
viaje	mapa	n.m.	Miramos el mapa.
viaje	metro	n.m.	El metro es muy rápido.
viaje	mochila	n.f.	Llevo lo justo en la mochila.
viaje	moneda	n.f.	Cambié la moneda en el banco.
viaje	montaña	n.f.	Subimos a la montaña.
viaje	origen	n.m.	El vuelo con origen en Madrid.
viaje	paisaje	n.m.	El paisaje es impresionante.
viaje	pasaporte	n.m.	No olvides el pasaporte.
viaje	perderse	v.pron.	Nos perdimos en la ciudad.
viaje	playa	n.f.	Pasamos el día en la playa.
viaje	plaza	n.f.	Quedamos en la plaza mayor.
viaje	propina	n.f.	Dejé propina al camarero.
viaje	pueblo	n.m.	Nací en un pueblo pequeño.
viaje	recto	adv.	Sigue todo recto.
viaje	recuerdo	n.m.	Compré un recuerdo para mi madre.
viaje	reserva	n.f.	Tengo una reserva a mi nombre.
viaje	reservar	v.	Reservé una mesa.
viaje	retraso	n.m.	Hubo un retraso de una hora.
viaje	ruta	n.f.	Planeamos la ruta juntos.
viaje	salida	n.f.	La salida es a las nueve.
viaje	seguro	n.m.	Contraté un seguro de viaje.
viaje	taxi	n.m.	Cogimos un taxi al aeropuerto.
viaje	trayecto	n.m.	El trayecto dura dos horas.
viaje	tren	n.m.	Cojo el tren de las ocho.
viaje	turista	n.m.	El barrio está lleno de turistas.
viaje	vacaciones	n.f.	Estamos de vacaciones.
viaje	verano	n.m.	Viajamos en verano.
viaje	viajar	v.	Me encanta viajar.
viaje	viajero	n.m.	Es un viajero incansable.
viaje	visitar	v.	Visitamos el museo.
viaje	vuelo	n.m.	El vuelo se retrasó.
